,,,,,,,,,,,,,,,,,,,,,
Iterations per tickets _6/20/17,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ticket Number,Assigned To (CSR),Client/Account Name,Severity,Service Offering,Additional Info 1,Additional Info 2,Category,Status,Last Status Modified Date,Date Created-Format,Date Last Modified-Format,Response Date-Format,Date Closed-Format,PER Phase Date-Format,Parent Ticket Number,Child Ticket Number,PER Phase,Production Implementation Tracking,Summary,Time Spent (min),Age(Days)
5377-11994743,User4,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-02.06.26,2015-09-25-15.17.59,2017-06-19-02.06.26,2015-09-25-15.32.11,,2017-05-01-00.00.00,,5377-12721002,Production Complete,MAY/EMLCR RC/MAY-S,CEVA PER GHO-2015-08026 Electronic Invoice - Argentina ,3774,634
5377-11994743,User4,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-02.06.26,2015-09-25-15.17.59,2017-06-19-02.06.26,2015-09-25-15.32.11,,2017-05-01-00.00.00,,5377-12794826,Production Complete,MAY/EMLCR RC/MAY-S,CEVA PER GHO-2015-08026 Electronic Invoice - Argentina ,3774,634
5377-11994743,User4,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-02.06.26,2015-09-25-15.17.59,2017-06-19-02.06.26,2015-09-25-15.32.11,,2017-05-01-00.00.00,,5377-13086173,Production Complete,MAY/EMLCR RC/MAY-S,CEVA PER GHO-2015-08026 Electronic Invoice - Argentina ,3774,634
5377-11994743,User4,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-02.06.26,2015-09-25-15.17.59,2017-06-19-02.06.26,2015-09-25-15.32.11,,2017-05-01-00.00.00,,5377-13377890,Production Complete,MAY/EMLCR RC/MAY-S,CEVA PER GHO-2015-08026 Electronic Invoice - Argentina ,3774,634
5377-12368376,User2,Customer5,Sev 2,B2B Services Integration Plus (Managed Services),FEB/R1(.5) MAY/R1(3)NC3(7) MAR/C1(2) APR/C1(1.5) JUN/C2(5),,S - PER - New Map,Needs Reply,2017-06-19-09.29.35,2016-02-23-05.19.07,2017-06-19-09.29.35,2016-02-24-06.48.59,,,5377-12333768,,CTE Technical Implementation,,CHILD - New INVOICE map development for ALDI-AB_ALDI_INVOIC_SAP_O_D96A,2271,483
5377-12580491,User5,Customer6,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-09.54.07,2016-05-13-07.06.15,2017-06-19-09.54.07,2016-05-13-09.48.54,,,,5377-12837838,Production Technical Implementation,,NEW REQUEST for EDI To CXML Conversion: Ingersoll Rand / XERO_INR_O_810_4010/,5883,403
5377-12580491,User5,Customer6,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-09.54.07,2016-05-13-07.06.15,2017-06-19-09.54.07,2016-05-13-09.48.54,,,,5377-12930054,Production Technical Implementation,,NEW REQUEST for EDI To CXML Conversion: Ingersoll Rand / XERO_INR_O_810_4010/,5883,403
5377-12596621,User6,Customer7,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - Communication,Waiting - Partner,2017-06-19-07.10.37,2016-05-19-04.20.59,2017-06-19-07.10.37,2016-05-19-04.26.55,,,,5377-13400981,,,PER_Epcos UK 106040 & TDK JPY 111843 Change of Provider,563,397
5377-12596621,User6,Customer7,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - Communication,Waiting - Partner,2017-06-19-07.10.37,2016-05-19-04.20.59,2017-06-19-07.10.37,2016-05-19-04.26.55,,,,5377-13421965,,,PER_Epcos UK 106040 & TDK JPY 111843 Change of Provider,563,397
5377-12628248,User3,Customer8,Sev 4,B2B Services Integration Plus (Managed Services),JUN/N JUL/C2(5) AUG/C2(5) SEP/C1(1) JAN/C3(8.25)R1(2) FEB/C1(2) JUN/C2(3.5),,S - PER - New Map,Waiting - Client,2017-06-19-13.09.04,2016-06-03-08.32.55,2017-06-19-13.09.04,2016-06-03-08.38.05,,2016-06-03-00.00.00,,5377-12765694,Technical Review,,PER  1 request - Pfizer EI cXML E-INV Ariba - MM_INVOICE01_PFIZEREI_O_CXML,2041,382
5377-12701516,User7,Customer10,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Release - Monthly,2017-06-19-13.53.49,2016-06-29-12.56.05,2017-06-19-13.53.49,2016-07-07-16.09.48,,2016-07-13-00.00.00,,,CTE Valiation/Testing,,RE: New PER request for Bunzl Distribution [In CTE 07/13 CC],298,356
5377-12718946,User7,Customer10,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - New TP,Needs Reply,2017-06-19-17.45.18,2016-07-07-15.04.56,2017-06-19-17.45.18,2016-07-27-13.33.01,,2016-09-08-00.00.00,,,CTE Technical Implementation,,"RE: New PER request for Shoes for Crews, LLC [In CTE 09/08 CC] {02838216}",540,348
5377-12749815,User4,Customer2,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-02.13.47,2016-07-20-05.13.28,2017-06-19-02.13.47,2016-07-20-05.36.24,,2017-05-09-00.00.00,,5377-12771280,Production Complete,MAY/ERC RC/JUN-S,PER - New TP W\81rth for outgoing ORDERS ,1029,335
5377-12749815,User4,Customer2,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-02.13.47,2016-07-20-05.13.28,2017-06-19-02.13.47,2016-07-20-05.36.24,,2017-05-09-00.00.00,,5377-12774550,Production Complete,MAY/ERC RC/JUN-S,PER - New TP W\81rth for outgoing ORDERS ,1029,335
5377-12749815,User4,Customer2,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-02.13.47,2016-07-20-05.13.28,2017-06-19-02.13.47,2016-07-20-05.36.24,,2017-05-09-00.00.00,,5377-13389521,Production Complete,MAY/ERC RC/JUN-S,PER - New TP W\81rth for outgoing ORDERS ,1029,335
5377-12749815,User4,Customer2,Sev 3,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-02.13.47,2016-07-20-05.13.28,2017-06-19-02.13.47,2016-07-20-05.36.24,,2017-05-09-00.00.00,,5377-13393366,Production Complete,MAY/ERC RC/JUN-S,PER - New TP W\81rth for outgoing ORDERS ,1029,335
5377-12760504,User5,Customer11,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Needs Reply,2017-06-19-08.59.40,2016-07-25-09.52.07,2017-06-19-08.59.40,2016-07-25-10.00.14,,2017-07-25-00.00.00,,5377-12762604,CTE Valiation/Testing,,PER Ulta Implement EDI,858,330
5377-12760504,User5,Customer11,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Needs Reply,2017-06-19-08.59.40,2016-07-25-09.52.07,2017-06-19-08.59.40,2016-07-25-10.00.14,,2017-07-25-00.00.00,,5377-12762610,CTE Valiation/Testing,,PER Ulta Implement EDI,858,330
5377-12760504,User5,Customer11,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Needs Reply,2017-06-19-08.59.40,2016-07-25-09.52.07,2017-06-19-08.59.40,2016-07-25-10.00.14,,2017-07-25-00.00.00,,5377-12762612,CTE Valiation/Testing,,PER Ulta Implement EDI,858,330
5377-12760504,User5,Customer11,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Needs Reply,2017-06-19-08.59.40,2016-07-25-09.52.07,2017-06-19-08.59.40,2016-07-25-10.00.14,,2017-07-25-00.00.00,,5377-12765381,CTE Valiation/Testing,,PER Ulta Implement EDI,858,330
5377-12762604,User5,Customer11,Sev 4,B2B Services Integration Plus (Managed Services),JUL/N AUG/R1(.5)C4(7.5) SEP/C1(1.5),,S - PER - New Map,Needs Reply,2017-06-19-09.05.52,2016-07-26-03.18.17,2017-06-19-09.05.52,2016-07-28-09.25.19,,,5377-12760504,,CTE Technical Implementation,,PER Child ticket for IB 850 Map: PER Ulta Implement EDI - CD_US_ULTA_I_850_4010,1114,329
5377-12762610,User5,Customer11,Sev 4,B2B Services Integration Plus (Managed Services),JUL/N AUG/R1(1)C2(3) SEP/C4(3.5)M1(1.5) MAR/C1(1.5),,S - PER - New Map,Needs Reply,2017-06-19-09.04.04,2016-07-26-03.23.30,2017-06-19-09.04.04,2016-07-28-06.33.57,,,5377-12760504,,CTE Technical Implementation,,PER CHILD TICKET FOR OB 855 Mapping: PER Ulta Implement EDI - CD_US_ULTA_O_855_4010,1621,329
5377-12762612,User5,Customer11,Sev 4,B2B Services Integration Plus (Managed Services),JUL/N OCT/C4(5.5) NOV/X1(.5)C1(.5) APR/C1(1)M1(.5),NOV/Q1,S - PER - New Map,Needs Reply,2017-06-19-09.08.34,2016-07-26-03.25.47,2017-06-19-09.08.34,2016-07-27-06.20.07,,,5377-12760504,,CTE Technical Implementation,,PER Child ticket for OB 856 Mapping: PER Ulta Implement EDI: CD_US_ULTA_O_856_4010,1390,329
5377-12765381,User5,Customer11,Sev 4,B2B Services Integration Plus (Managed Services),JUL/N NOV/C1(2.5)M1(1) DEC/C3(3) JAN/C2(2) MAY/C1(.5),,S - PER - New Map,Needs Reply,2017-06-19-09.01.12,2016-07-27-02.40.05,2017-06-19-09.01.12,2016-07-29-05.35.57,,,5377-12760504,,CTE Technical Implementation,,PER Child ticket for OB 810 Mapping: PER Ulta Implement EDI - CD_US_ULTA_O_810_4010,1087,328
5377-12782833,User1,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-23.13.08,2016-08-04-05.06.02,2017-06-19-23.13.08,2016-08-09-10.42.36,2017-03-29-09.12.45,2017-03-06-00.00.00,,5377-12823523,CTE Valiation/Testing,,CEVA PER GHO-2016-04465 EDI - Air - Covidien - OFS EDI Invoicing to D2L ,780,237
5377-12782833,User1,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-23.13.08,2016-08-04-05.06.02,2017-06-19-23.13.08,2016-08-09-10.42.36,2017-03-29-09.12.45,2017-03-06-00.00.00,,5377-12823611,CTE Valiation/Testing,,CEVA PER GHO-2016-04465 EDI - Air - Covidien - OFS EDI Invoicing to D2L ,780,237
5377-12782833,User1,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-23.13.08,2016-08-04-05.06.02,2017-06-19-23.13.08,2016-08-09-10.42.36,2017-03-29-09.12.45,2017-03-06-00.00.00,,5377-12823792,CTE Valiation/Testing,,CEVA PER GHO-2016-04465 EDI - Air - Covidien - OFS EDI Invoicing to D2L ,780,237
5377-12785922,User3,Customer12,Sev 2,B2B Services Integration Plus (Managed Services),SEP/M1(3.5)A1(.5)R1(.5)C2(3.5) OCT/C2(3) NOV/C1(1.5) JUN/M1(.25),,S - PER - New Map,Assigned,2017-06-19-14.01.21,2016-08-05-10.25.42,2017-06-19-14.01.21,2016-08-05-13.36.25,,2016-07-27-00.00.00,5377-12732298,,Production Complete,,PER CORP Mexico P21 - DHL - IR_CORP_MEX_940_TYPING -  IR_CORP_MEX_DHL_O_940_XML,954,319
5377-12786130,User8,Customer14,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-06.35.26,2016-08-05-11.42.55,2017-06-19-06.35.26,2016-08-05-11.52.10,,2017-05-31-00.00.00,,5377-12788288,Production Validation,MAY/CMER,New PER for CR4361,1445,319
5377-12786130,User8,Customer14,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-06.35.26,2016-08-05-11.42.55,2017-06-19-06.35.26,2016-08-05-11.52.10,,2017-05-31-00.00.00,,5377-12791438,Production Validation,MAY/CMER,New PER for CR4361,1445,319
5377-12786130,User8,Customer14,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-06.35.26,2016-08-05-11.42.55,2017-06-19-06.35.26,2016-08-05-11.52.10,,2017-05-31-00.00.00,,5377-13106823,Production Validation,MAY/CMER,New PER for CR4361,1445,319
5377-12786130,User8,Customer14,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-06.35.26,2016-08-05-11.42.55,2017-06-19-06.35.26,2016-08-05-11.52.10,,2017-05-31-00.00.00,,5377-13297720,Production Validation,MAY/CMER,New PER for CR4361,1445,319
5377-12786130,User8,Customer14,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-06.35.26,2016-08-05-11.42.55,2017-06-19-06.35.26,2016-08-05-11.52.10,,2017-05-31-00.00.00,,5377-13432082,Production Validation,MAY/CMER,New PER for CR4361,1445,319
5377-12799094,User9,Customer15,Sev 3,B2B Services Integration Plus (Managed Services),AUG/NA1(.25)C1(3) OCT/C3(9)A1(.5) NOV/C1(2) DEC/C1(2) FEB/C1(1.5) MAY/C1(2.5)R1(1)M1(.6) JUN/C2(2.5),,S - PER - New Map,Release - Monthly,2017-06-19-11.16.01,2016-08-11-10.01.18,2017-06-19-11.16.01,2016-08-15-08.24.28,,2016-08-11-00.00.00,5377-12777391,,CTE Technical Implementation,,PER  Update Map -  PHIL_CONS_PACCOM_O_INVOIC_XML_SAT,1818,313
5377-12799103,User10,Customer15,Sev 3,B2B Services Integration Plus (Managed Services),AUG/N SEP/C2(5.5) OCT/C1(2)M1(1.5) DEC/C1(1.5) FEB/C1(1.5)M1(1) MAY/C2(4)A1(.4)M1(.5) JUN/C2(4)R1(1.5),,S - PER - New Map,Needs Reply,2017-06-19-12.50.11,2016-08-11-10.04.20,2017-06-19-12.50.11,2016-08-19-06.01.02,,2016-08-11-00.00.00,5377-12777391,,CTE Technical Implementation,,PER  Update Map - PHIL_CONS_PACCOM_O_ORDRSP_XML_SAT,1788,313
5377-12802754,User4,Customer9,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-05.57.24,2016-08-12-17.33.55,2017-06-19-05.57.24,2016-08-15-07.34.31,,2017-06-19-00.00.00,,5377-12807031,Production Validation,MAR/CER RC/MAR-S JUN/E,Fw: PER for 130482 - Fabrinet West Inc,961,312
5377-12802754,User4,Customer9,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-05.57.24,2016-08-12-17.33.55,2017-06-19-05.57.24,2016-08-15-07.34.31,,2017-06-19-00.00.00,,5377-12807036,Production Validation,MAR/CER RC/MAR-S JUN/E,Fw: PER for 130482 - Fabrinet West Inc,961,312
5377-12802754,User4,Customer9,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-05.57.24,2016-08-12-17.33.55,2017-06-19-05.57.24,2016-08-15-07.34.31,,2017-06-19-00.00.00,,5377-12923226,Production Validation,MAR/CER RC/MAR-S JUN/E,Fw: PER for 130482 - Fabrinet West Inc,961,312
5377-12802754,User4,Customer9,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-05.57.24,2016-08-12-17.33.55,2017-06-19-05.57.24,2016-08-15-07.34.31,,2017-06-19-00.00.00,,5377-12957495,Production Validation,MAR/CER RC/MAR-S JUN/E,Fw: PER for 130482 - Fabrinet West Inc,961,312
5377-12802754,User4,Customer9,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Waiting - Client,2017-06-19-05.57.24,2016-08-12-17.33.55,2017-06-19-05.57.24,2016-08-15-07.34.31,,2017-06-19-00.00.00,,5377-13260992,Production Validation,MAR/CER RC/MAR-S JUN/E,Fw: PER for 130482 - Fabrinet West Inc,961,312
5377-12823523,User1,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),AUG/NC1(1.5) JAN/C1(2) MAR/C2(4) MAY/C1(2) JUN/C1(2),,S - PER - New Map,Waiting - Client,2017-06-19-23.12.27,2016-08-23-02.18.14,2017-06-19-23.12.27,2016-09-27-21.34.23,,,5377-12782833,,,,CEVA_COV_OFS_IMPORT_O_110_4010 & CEVA_SYSACK_OFS_COV_I_E_O_110,1425,301
5377-12823611,User1,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),AUG/N JAN/C1(1.5) MAR/C2(2) MAY/C1(2) JUN/C1(1),,S - PER - New Map,Waiting - Client,2017-06-19-23.12.01,2016-08-23-02.35.14,2017-06-19-23.12.01,2016-09-27-21.34.10,,,5377-12782833,,,,PER - CEVA_COV_OFS_EXPORT_O_110_4010,1241,301
5377-12839892,User13,Customer16,Sev 4,B2B Services Integration Plus (Managed Services),SEP/N OCT/C4(7)R1(1) JUN/R1(2)C1(4),,S - PER - New Map,Waiting - Client,2017-06-19-18.22.42,2016-08-29-13.13.59,2017-06-19-18.22.42,2016-09-01-14.44.59,,2016-08-25-00.00.00,5377-12817993,,Technical Review,,Emailing: PER _Gardner Denver Fastenal 4 maps 1-4 and TPs -Approved.doc - : :GDI_FASTENAL_I_843_4010,1456,295
5377-12930054,User14,Customer6,Sev 3,B2B Services (Hosted Translations),SEP/C1(.5) JUN/R1(2),,S - PER - Map Change,Assigned,2017-06-19-21.24.36,2016-09-28-05.07.18,2017-06-19-21.24.36,2016-09-29-17.52.54,,,5377-12580491,,,,PER CHILD TICKET: Ingersoll Rand / XERO_INR_O_810_4010/ Map Update,274,265
5377-12930467,User11,Customer17,Sev 3,B2B Services (Hosted Translations),,,S - PER - parent request,Waiting - Client,2017-06-19-11.41.33,2016-09-28-08.45.22,2017-06-19-11.41.33,2016-10-03-13.00.31,,2016-10-12-00.00.00,,5377-12963965,Technical Review,,FW: New IBM Integration - Coupa Marketplace,2237,265
5377-12930467,User11,Customer17,Sev 3,B2B Services (Hosted Translations),,,S - PER - parent request,Waiting - Client,2017-06-19-11.41.33,2016-09-28-08.45.22,2017-06-19-11.41.33,2016-10-03-13.00.31,,2016-10-12-00.00.00,,5377-12964010,Technical Review,,FW: New IBM Integration - Coupa Marketplace,2237,265
5377-12930467,User11,Customer17,Sev 3,B2B Services (Hosted Translations),,,S - PER - parent request,Waiting - Client,2017-06-19-11.41.33,2016-09-28-08.45.22,2017-06-19-11.41.33,2016-10-03-13.00.31,,2016-10-12-00.00.00,,5377-12964016,Technical Review,,FW: New IBM Integration - Coupa Marketplace,2237,265
5377-12930467,User11,Customer17,Sev 3,B2B Services (Hosted Translations),,,S - PER - parent request,Waiting - Client,2017-06-19-11.41.33,2016-09-28-08.45.22,2017-06-19-11.41.33,2016-10-03-13.00.31,,2016-10-12-00.00.00,,5377-13074543,Technical Review,,FW: New IBM Integration - Coupa Marketplace,2237,265
5377-12930467,User11,Customer17,Sev 3,B2B Services (Hosted Translations),,,S - PER - parent request,Waiting - Client,2017-06-19-11.41.33,2016-09-28-08.45.22,2017-06-19-11.41.33,2016-10-03-13.00.31,,2016-10-12-00.00.00,,5377-13186882,Technical Review,,FW: New IBM Integration - Coupa Marketplace,2237,265
5377-12930467,User11,Customer17,Sev 3,B2B Services (Hosted Translations),,,S - PER - parent request,Waiting - Client,2017-06-19-11.41.33,2016-09-28-08.45.22,2017-06-19-11.41.33,2016-10-03-13.00.31,,2016-10-12-00.00.00,,5377-13195298,Technical Review,,FW: New IBM Integration - Coupa Marketplace,2237,265
5377-12937651,User12,Customer4,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - Communication,Waiting - Partner,2017-06-19-10.15.13,2016-09-30-14.25.32,2017-06-19-10.15.13,2016-09-30-14.29.58,,2016-09-29-00.00.00,5377-12914738,,CTE Technical Implementation,,CEVA PER LNA-2016-04743 Drop Ship - Sears FTP and Mapping XML to Stddmd - HTTPS via VPN Communication,1674,263
5377-12945605,User7,Customer24,Sev 4,B2B Services Integration Plus (Managed Services),OCT/C1(1),,S - PER - Map Change,Waiting - Client,2017-06-19-16.38.19,2016-10-04-18.05.21,2017-06-19-16.38.19,2016-10-05-02.04.24,,2016-10-06-00.00.00,,,Technical Review,,"Map - DESC_TREMEC_JOHNDEERE_I_830_004010
NEW CASE - PER_DESC_TREMEC_JohnDeere_830 and 856 - New locationBrasil",262,259
5377-12949488,User1,Customer4,Sev 2,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Needs Reply,2017-06-19-11.05.40,2016-10-06-03.22.29,2017-06-19-11.05.40,2016-10-06-04.04.00,2017-01-31-21.29.25,2016-10-21-00.00.00,,5377-12986830,Technical Review,,CEVA PER  GHO-2016-06546 C2C Manual PO Upload for Stock Item Inventory ,832,117
5377-12949488,User1,Customer4,Sev 2,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Needs Reply,2017-06-19-11.05.40,2016-10-06-03.22.29,2017-06-19-11.05.40,2016-10-06-04.04.00,2017-01-31-21.29.25,2016-10-21-00.00.00,,5377-12987153,Technical Review,,CEVA PER  GHO-2016-06546 C2C Manual PO Upload for Stock Item Inventory ,832,117
5377-12949488,User1,Customer4,Sev 2,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Needs Reply,2017-06-19-11.05.40,2016-10-06-03.22.29,2017-06-19-11.05.40,2016-10-06-04.04.00,2017-01-31-21.29.25,2016-10-21-00.00.00,,5377-12999024,Technical Review,,CEVA PER  GHO-2016-06546 C2C Manual PO Upload for Stock Item Inventory ,832,117
5377-12964867,User4,Customer9,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Closed,2017-06-19-02.15.18,2016-10-12-14.06.06,2017-06-19-02.15.18,2016-10-12-14.10.12,2017-06-19-02.15.18,2017-06-07-00.00.00,,5377-12966709,Production Validation,OCT/EL RC/DEC-S JUN/E RC/JUN-S,Fw: PER for 124726- Danfoss Silicon Power GmbH,345,250
5377-12964867,User4,Customer9,Sev 4,B2B Services Integration Plus (Managed Services),,,S - PER - parent request,Closed,2017-06-19-02.15.18,2016-10-12-14.06.06,2017-06-19-02.15.18,2016-10-12-14.10.12,2017-06-19-02.15.18,2017-06-07-00.00.00,,5377-12973197,Production Validation,OCT/EL RC/DEC-S JUN/E RC/JUN-S,Fw: PER for 124726- Danfoss Silicon Power GmbH,345,250
5377-12969178,User11,Customer17,Sev 3,B2B Services (Hosted Translations),NOV/C1(1.5) MAR/M3(2),,S - PER - New Map,Waiting - Client,2017-06-19-11.39.55,2016-10-14-06.38.32,2017-06-19-11.39.55,2016-10-14-16.39.37,,,5377-12967393,,,,New PER  - GHX : HILT_GHX_I_850_4010,2162,249
5377-12969210,User11,Customer17,Sev 2,B2B Services (Hosted Translations),NOV/F2(3)C2(3) DEC/C4(8)R1(1)F1(1.5) JAN/C1(3) MAY/R1(2),NOV/Q2 DEC/Q1,S - PER - New Map,Needs Reply,2017-06-19-12.03.32,2016-10-14-06.56.51,2017-06-19-12.03.32,2016-10-18-15.14.47,,,5377-12967393,,,,New PER  - GHX - HILT_GHX_O_855_4010,5669,249
